,Color_Name_,Color_Code,IMAGE,TAG: Color,id
57,olivia test,OLIVPP,Cy8qZKLQrGESzjjs9wso_olivia_screenshot.JPG (https://dl.airtable.com/ax2GEuMCRKOvcm1f6BT3_Cy8qZKLQrGESzjjs9wso_olivia_screenshot.JPG),"Primary darkslategray, Secondary darkgray,  Bright Low,  Contrast Low, Field Large, Genre Whimsy",rec1fqusEhyVGrDZU
58,The Italian COMSUBIN Plaid DARK,ITALDM,Vp7BJF66TIqWX31MlYRX_Screen%20Shot%202018-07-30%20at%203.50.40%20PM.png (https://dl.airtable.com/v2RmslsjQYWIJ4zqEZIZ_Vp7BJF66TIqWX31MlYRX_Screen%2520Shot%25202018-07-30%2520at%25203.50.40%2520PM.png),"Primary dimgrey, Secondary rosybrown,  Bright Medium,  Contrast Low, Field Large, Genre Floral",rec1g5SVSXQN3Utr5
59,Logo Tee Blush,LOGOVM,KTm2K9QFqsQR458VfYgi_Screen%20Shot%202017-08-30%20at%201.31.25%20PM.png (https://dl.airtable.com/2bDguP7ESK7L4U7YOG6X_KTm2K9QFqsQR458VfYgi_Screen%2520Shot%25202017-08-30%2520at%25201.31.25%2520PM.png),"Primary whitesmoke, Secondary lightgray,  Bright High,  Contrast Low, Field Medium, Genre Jewel",rec1jg0s8Bog24qxl
60,BLACK,BLACKA,Q9vvsNw9RMWtofs3ShZl_DCE.JPG (https://dl.airtable.com/AphJEiTSg2gaPWXoJR0e_Q9vvsNw9RMWtofs3ShZl_DCE.JPG),"Primary silver, Secondary dimgrey,  Bright Medium,  Contrast Low, Field Medium, Genre Stripe",rec1mB0E3q2zZlozl
61,Warped Pinstripe Olive,OLIVPU,303Vz1iwSz2HbtuP5xjQ_Screen%20Shot%202017-08-03%20at%203.33.59%20PM.png (https://dl.airtable.com/U320XPI8TS6p3w6C8xjn_303Vz1iwSz2HbtuP5xjQ_Screen%2520Shot%25202017-08-03%2520at%25203.33.59%2520PM.png),"Primary grey, Secondary darkolivegreen,  Bright Medium,  Contrast Low, Field Medium, Genre Nature",rec1mtfpaF2T5P3Vk
62,TURQUOISE GINGHAM,TURQXM,2fdvCXkXQMeEaHCutQLz_Screen%20Shot%202018-06-19%20at%201.16.52%20PM.png (https://dl.airtable.com/fO4qv8IXTFqx31mHPoLw_2fdvCXkXQMeEaHCutQLz_Screen%2520Shot%25202018-06-19%2520at%25201.16.52%2520PM.png),"Primary indianred, Secondary darkseagreen,  Bright Medium,  Contrast Low, Field Large, Genre Whimsy",rec1nFa72aXK1CrFM
63,Cream watercolor,CRAMZB,69awiZySN6547dVhLTWX_Screen%20Shot%202017-12-05%20at%202.39.37%20PM.png (https://dl.airtable.com/PyEd4YZhROCNUDujH1K5_69awiZySN6547dVhLTWX_Screen%2520Shot%25202017-12-05%2520at%25202.39.37%2520PM.png),"Primary mediumpurple, Secondary antiquewhite,  Bright High,  Contrast Low, Field Large, Genre Stripe",rec1p5oI4maWJHj5v
64,MAGENTA,MAGNPV,2vpbiK4lQTuoAINEGY3w_Screen%20Shot%202018-01-23%20at%203.28.58%20PM.png (https://dl.airtable.com/901fuC9VQka8fZJNd4cC_2vpbiK4lQTuoAINEGY3w_Screen%2520Shot%25202018-01-23%2520at%25203.28.58%2520PM.png),"Primary mediumvioletred,  Bright Medium,  Contrast Low, Field Large, Genre Floral",rec1pSUmDp9ihc0P7
65,The Urban Air Force Plaid,URBAHQ,U86qJVvzRii2G0AitSQQ_Screen%20Shot%202018-06-18%20at%201.43.00%20PM.png (https://dl.airtable.com/TEq83lyRImh4fsWW7xfl_U86qJVvzRii2G0AitSQQ_Screen%2520Shot%25202018-06-18%2520at%25201.43.00%2520PM.png),"Primary darkgray, Secondary dimgrey,  Bright Medium,  Contrast Low, Field Large, Genre Floral",rec1uwdEXFuzUZC5D
66,Ivory Tie Print ,IVORIN,NYhR803vRYOhhPuq7lw3_Screen%20Shot%202018-07-05%20at%204.02.51%20PM.png (https://dl.airtable.com/7XB77ZRE6z2L7sX8GtA9_NYhR803vRYOhhPuq7lw3_Screen%2520Shot%25202018-07-05%2520at%25204.02.51%2520PM.png),"Primary Ivory, Secondary Blue, Field Medium, Contrast Low, Bright Medium, Genre Geometric, Genre Blocking",rec1z4Ts569VMvZiv
67,YELLOW PARADISE ORCHID,YLLOAB,ahZmwadaSsmfq9gpyWK6_Screen%20Shot%202018-09-21%20at%202.55.15%20PM.png (https://dl.airtable.com/uBlvA2nWSu6SXn9ypv4y_ahZmwadaSsmfq9gpyWK6_Screen%2520Shot%25202018-09-21%2520at%25202.55.15%2520PM.png),"Contrast Low, Bright Low, Genre Floral, Field Small, Secondary Red, Primary Yellow",rec23DUKduL4FQEoC
